,Name,Damage,Weight,Category
275,Practice Arrow,0,0.0,Archery
181,Fork,1,0.5,One-Handed
161,Illusory War Axe,1,14.0,One-Handed
126,Phantom Sword,1,0.0,One-Handed
182,Knife,2,0.5,One-Handed
143,Wooden Sword ,2,3.0,One-Handed
277,Rusty Arrow,4,0.0,Archery
34,Iron Dagger,4,2.0,One-Handed
174,Pickaxe,5,10.0,One-Handed
175,Poacher's Axe,5,10.0,One-Handed
180,Woodcutter's Axe,5,10.0,One-Handed
22,Alessandra's Dagger,5,1.0,One-Handed
46,Valdr's Lucky Dagger,5,2.5,One-Handed
158,Hoarfrost ,5,10.0,One-Handed
45,Steel Dagger,5,2.5,One-Handed
145,Ancient Nordic Pickaxe ,5,10.0,One-Handed
42,Shiv,5,2.0,One-Handed
171,Notched Pickaxe,5,10.0,One-Handed
41,Rundi's Dagger,5,2.5,One-Handed
38,Nettlebane,6,10.0,One-Handed
238,Froki's Bow,6,5.0,Archery
29,Dragon Priest Dagger,6,5.0,One-Handed
35,Kahvozein's Fang,6,5.0,One-Handed
40,Orcish Dagger,6,3.0,One-Handed
249,Long Bow,6,5.0,Archery
110,Iron Sword,7,9.0,One-Handed
270,Forsworn Arrow,7,0.0,Archery
269,Falmer Arrow,7,0.0,Archery
112,Lunar Iron Sword (Lvl 4-5),7,9.0,One-Handed
69,Amren's Family Sword,7,9.0,One-Handed
229,Dravin's Bow,7,7.0,Archery
111,Lunar Iron Sword (Lvl 2-3),7,9.0,One-Handed
65,Rusty Mace,7,13.0,One-Handed
246,Hunting Bow,7,7.0,Archery
113,Lunar Iron Sword (Lvl 6+),7,9.0,One-Handed
223,Angi's Bow,7,7.0,Archery
30,Dwarven Dagger,7,3.5,One-Handed
127,Queen Freydis's Sword,8,10.0,One-Handed
162,Iron War Axe,8,11.0,One-Handed
25,Bloodthorn,8,2.5,One-Handed
131,Silver Sword,8,7.0,One-Handed
43,Skyforge Steel Dagger,8,2.5,One-Handed
163,Lunar Iron War Axe (Lvl 2-3),8,11.0,One-Handed
70,Ancient Nord Sword,8,12.0,One-Handed
36,Keening,8,4.0,One-Handed
136,The Pale Blade (Lvl 1-5),8,12.0,One-Handed
134,Steel Sword,8,10.0,One-Handed
129,Red Eagle's Fury,8,12.0,One-Handed
106,Hjalti's Sword,8,12.0,One-Handed
74,Ceremonial Sword,8,12.0,One-Handed
101,Ghostblade,8,1.0,One-Handed
39,Nordic Dagger ,8,3.5,One-Handed
96,Gauldur Blackblade (Lvl 1-11),8,12.0,One-Handed
272,Iron Arrow,8,0.0,Archery
97,Gauldur Blackblade (Lvl 12-18),8,12.0,One-Handed
104,Harkon's Sword ,8,9.0,One-Handed
116,Lunar Steel Sword (Lvl 8+),8,10.0,One-Handed
115,Lunar Steel Sword (Lvl 6-7),8,10.0,One-Handed
164,Lunar Iron War Axe (Lvl 4-5),8,11.0,One-Handed
165,Lunar Iron War Axe (Lvl 6+),8,11.0,One-Handed
137,The Pale Blade (Lvl 6-11),8,12.0,One-Handed
114,Lunar Steel Sword (Lvl 4-5),8,10.0,One-Handed
222,Ancient Nord Bow,8,12.0,Archery
109,Imperial Sword,8,10.0,One-Handed
32,Elven Dagger,8,4.0,One-Handed
26,Borvir's Dagger,8,4.0,One-Handed
239,Gauldur Blackbow,8,12.0,Archery
240,Gauldur Blackbow,8,12.0,Archery
156,Ghorbash's Ancestral Axe,8,11.0,One-Handed
178,Steel War Axe,9,12.0,One-Handed
168,Lunar Steel War Axe (Lvl 6+),9,12.0,One-Handed
167,Lunar Steel War Axe (Lvl 4-5),9,12.0,One-Handed
33,Glass Dagger,9,4.5,One-Handed
166,Lunar Steel War Axe (Lvl 2-3),9,12.0,One-Handed
146,Ceremonial Axe,9,14.0,One-Handed
56,Lunar Iron Mace (Lvl 4-5),9,13.0,One-Handed
57,Lunar Iron Mace (Lvl 6+),9,13.0,One-Handed
55,Lunar Iron Mace (Lvl 2-3),9,13.0,One-Handed
54,Iron Mace,9,13.0,One-Handed
144,Ancient Nord War Axe,9,14.0,One-Handed
179,Ulfric's War Axe,9,12.0,One-Handed
125,Orcish Sword,9,11.0,One-Handed
247,Imperial Bow,9,8.0,Archery
60,Lunar Steel Mace (Lvl 8+),10,14.0,One-Handed
285,Steel Bolt,10,0.0,Archery
279,Steel Arrow,10,0.0,Archery
288,Exploding Steel Bolt of Ice,10,0.0,Archery
261,Ancient Nord Arrow,10,0.0,Archery
44,Stalhrim Dagger ,10,4.5,One-Handed
24,Blade of Sacrifice,10,4.0,One-Handed
90,Dwarven Sword,10,12.0,One-Handed
83,Dragonbane (Lvl 1-18),10,10.0,One-Handed
225,Bow of the Hunt,10,7.0,Archery
173,Orcish War Axe,10,13.0,One-Handed
58,Lunar Steel Mace (Lvl 4-5),10,14.0,One-Handed
59,Lunar Steel Mace (Lvl 6-7),10,14.0,One-Handed
94,Falmer Sword,10,18.0,One-Handed
287,Exploding Steel Bolt of Fire,10,0.0,Archery
118,Nightingale Blade (Lvl1-18),10,11.0,One-Handed
75,Chillrend (Lv 1-10),10,11.0,One-Handed
67,Steel Mace,10,14.0,One-Handed
31,Ebony Dagger,10,5.0,One-Handed
252,Orcish Bow,10,9.0,Archery
276,Riekling Spear DR,10,0.0,Archery
95,Forsworn Sword,10,13.0,One-Handed
53,Horksbane ,10,14.0,One-Handed
289,Exploding Steel Bolt of Shock,10,0.0,Archery
99,Gauldur Blackblade (Lvl 27-35),11,15.0,One-Handed
151,Dwarven War Axe,11,14.0,One-Handed
148,Dawnguard Rune Axe ,11,13.0,One-Handed
149,Dawnguard War Axe ,11,13.0,One-Handed
124,Nordic Sword ,11,12.0,One-Handed
73,Bolar's Oathblade,11,10.0,One-Handed
89,Drainheart Sword,11,3.0,One-Handed
190,Ebony Blade,11,10.0,Two-Handed
128,Red Eagle's Bane,11,15.0,One-Handed
63,Orcish Mace,11,15.0,One-Handed
71,Blades Sword,11,10.0,One-Handed
105,Herebane's Courage,11,13.0,One-Handed
100,Gauldur Blackblade (Lvl 36+),11,15.0,One-Handed
119,Nightingale Blade (Lvl 19-26),11,12.0,One-Handed
123,Nord Hero Sword,11,9.0,One-Handed
